SAMPLEID	VERDY3	VERDY6	VERDY24	VERDY4	NT1	NT2	NT3	NT4	NT5	VERDY5	VERDY7	VERDY2	VERDY8	VERDY21	VERDY33	VERDY34	VERDY35	VERDY36	VERDY38	VERDY39	VERDY51	VERDY40	VERDY49	VERDY53	VERDY20	VERDY37	VERDY65	VERDY66	VERDY9	VERDY17	VERDY54	VERDY19	VERDY18	VERDY52	VERDY23	VERDY55
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; urealyticum"	0	44886	23	0	0	0	0	0	21	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"NA; NA; NA; NA; NA; NA; NA"	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	33	7	0	0	0	0	15	0	0	0
"NA; NA; NA; NA; NA; NA; NA"	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; NA; NA; NA; NA; NA; NA"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	36430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Dialister; NA"	0	3573	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Mitsuokella; NA"	0	2814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Mitsuokella; NA"	0	1787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Selenomonadaceae; Mitsuokella; NA"	0	1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Mycoplasmatales; Mycoplasmataceae; Ureaplasma; NA"	0	823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bacteria; Firmicutes; Bacilli; Erysipelotrichales; Erysipelatoclostridiaceae; Catenibacterium; NA"	0	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
